"Produktname";"Hersteller";"Produktbeschreibung";"Kaufpreis_in_Euro";"Monatliche_Kosten";"Refinanzierungsmoglichkeit";"Vertrieb";"Zuletzt_aktualisiert";"Interoperabilitat";"SmartphoneTablett_erforderlich";"Stromversorgung";"Mobilitat";"Eigenstaendige_Loesung";"Oberthema";"Pflegeproblem";"Produktkategorie";"PrimeOberthema";"LPD_Schauraum";"id";"Produktform";"Internetzugang_erforderlich";"Vernetzung";"Gutesiegel";"Status"
"Bettflucht Sensor System";"Pratoline HomeCare";"Das Pratoline Bettfluchtsystem ist eine innovative, funkbasierte Lösung zur Sturzprävention und Weglaufsicherung bei demenziell veränderten oder nachts aktiven Personen. Das Set enthält zwei flache Drucksensorstreifen, die zwischen Matratze und Spannbettlaken im Schulter- und Hüftbereich eingeschoben werden und über einen MultiCode‑Smart‑Sender funken. ";"101-300 €";"Nein";"";"Hersteller-Website";"2025-07-10";"SMART Life APP, IOT Systeme";"Nein";"Netzbetrieb";"Beweglich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Aufstehmelder";"Stürzen,Sich verlaufen";"";"1189";"Nur Hardware";"Nein";"WLAN,869,23 MHz (sichere Sozialalarm Frequenz)";"";"aktiv"
"BRITA LARQ iQ Filter-Trinkflasche";"BRITA SE";"Die intelligente BRITA LARQ iQ Trinkflasche und die dazugehörige BRITA App arbeiten nahtlos zusammen und unterstützen Sie dabei, ausreichend und regelmäßig zu trinken.  Über die App können Sie jederzeit sehen, wie viel Sie bereits getrunken haben. Sie hilft Ihnen dabei, persönliche Trinkziele zu definieren und Ihre Fortschritte im Blick zu behalten. Auf Wunsch erinnert Sie Ihre Flasche genau dann ans Trinken, wenn es besonders wichtig ist – individuell abgestimmt auf Ihren Tagesablauf.";"101-300 €";"Nein";"";"Webshop";"2025-07-11";"BRITA App";"Ja";"Akku";"Beweglich";"Nein";"Stürzen,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Mangelnder Antrieb zu trinken";"Trinkerinnerung";"Stürzen,Flüssigkeitsmangel";"";"1190";"Hardware + Software";"Ja";"Bluetooth";"";"aktiv"
"Bold Elite";"Bold Security Technology B.V.";"Das Bold Elite Smart Lock bietet älteren Menschen und deren Angehörigen eine sichere, benutzerfreundliche Möglichkeit, Zutritte zur Wohnung digital zu verwalten. Es ermöglicht das automatische Verriegeln der Tür, Zugriff per App oder PIN-Code sowie Warnmeldungen bei Fehlbedienung, Manipulation oder geöffneter Tür. Besonders relevant im Kontext Weglaufschutz: Das Schloss informiert über Türstatus und Zugriffe in Echtzeit (mit Bold Connect), warnt bei wiederholtem PIN-Missbrauch und kann den Türknauf nach dem Verriegeln automatisch deaktivieren.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-07-16";"Bold Connect; Google Home; Matter ready; Homey";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Türschloss";"Stürzen,Sich verlaufen";"";"1191";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"Sone WLAN Türsensor ";"Sone ";"Türsensor für Ihr Smart Home. Der WLAN Türkontakt eignet sich perfekt zur Überwachung von Türen. Verbinden Sie den Türsensor kabellos mit TUYA oder Smart Life und erhalten Sie sofortige Benachrichtigungen bei jeder Türöffnung oder Nichtschließen. Steuern Sie weitere Geräte wie Licht oder Kameras automatisch bei Aktivierung des Türsensors. Ideal als Türsensor Alarm für mehr Sicherheit im Alltag";"1-50 €";"Nein";"";"Webshop";"2025-07-11";"TUYA oder Smart Life ";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen,Sich verlaufen";"";"1192";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"Tedee Door Sensor";"Tedee ";"Der Tedee Door Sensor erkennt, ob eine Tür offen oder geschlossen ist, und zeigt diesen Status in Echtzeit in der Tedee-App zusammen mit dem aktuellen Zustand des Smart Locks an. Das Gerät besteht aus zwei Komponenten – einem Sensor und einem Magneten – die auf der Innenseite von Türblatt und Türrahmen montiert werden.  ";"51-100 €";"Nein";"";"Hersteller-Website";"2025-07-11";"Tedee-App ";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen,Sich verlaufen";"";"1193";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"Salind 11 4G";"Salind UG";"Der SALIND 11 4G ist ein benutzerfreundlicher GPS-Tracker zur sicheren Ortung von Fahrzeugen, Personen oder Gegenständen. Dank moderner 4G-Technologie erfolgt die Standortübermittlung zuverlässig und in Echtzeit. Die einfache Handhabung und übersichtliche App machen ihn besonders seniorenfreundlich. Der starke Magnet ermöglicht eine flexible und sichere Befestigung. Der langlebige Akku mit bis zu 90 Tagen Standby-Zeit sorgt für zusätzlichen Komfort und Sicherheit.";"1-50 €";"Ja";"";"Hersteller-Website";"2025-07-11";"PAJ Portal v2 App";"Ja";"Akku";"Beweglich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Ortungssystem";"Stürzen,Sich verlaufen";"";"1194";"Nur Hardware";"Ja";"GSM/LTE";"";"aktiv"
"Salind GPS 20 4G";"Salind UG";"Der SALIND GPS 20 4G ist ein kompakter, leicht zu bedienender GPS-Tracker, der sich besonders für den Schutz von Personen, Fahrzeugen oder Wertsachen eignet. Dank 4G-Technologie bietet er eine zuverlässige Ortung in Echtzeit – europaweit und mit automatischer Benachrichtigung bei Bewegung. Die Handhabung ist einfach, die Position kann bequem per App oder Browser abgerufen werden. Der Akku hält je nach Nutzung bis zu 5 Tage und lässt sich unkompliziert aufladen. Durch seine flexible Einsetzbarkeit ist das Gerät besonders für Senioren geeignet, die Wert auf Sicherheit und Übersicht legen.";"51-100 €";"Ja";"";"Hersteller-Website";"2025-07-11";"PAJ Portal v2 App";"Ja";"";"Beweglich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Ortungssystem";"Stürzen,Sich verlaufen";"";"1195";"Nur Hardware";"Ja";"GSM/LTE";"";"aktiv"
"MiniFinder Pico";" MiniFinder Sweden AB";"Pico ist ein innovativer GPS-Tracker mit Alarmen, der eine genaue Positionsbestimmung sowohl im Innen- als auch im Außenbereich garantiert. Egal, ob Sie MiniFinder Pico verwenden möchten, um Ihre eigene Sicherheit zu erhöhen oder jemandem in Ihrer Nähe eine mobile Sicherheitslösung zur Verfügung zu stellen, Pico wird Ihr Leben erleichtern.";"101-300 €";"Ja";"";"Hersteller-Website";"2025-06-03";"MiniFinder Live App";"Ja";"Akku";"Beweglich";"Ja";"Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Weglaufschutz,Ortungssystem";"Sich verlaufen";"";"1165";"";"Ja";"GSM/LTE";"";"Aktiv"
"Senionex FLEX PRO 3";"Senionex ";"Das Senionex FLEX PRO 3 ist ein modernes Notrufarmband für Senioren, ausgestattet mit Funktionen wie einem Sturzsensor, GPS-Ortung, Telefonie und 4G-Mobilfunk-Technik. Es kann am Arm getragen oder um den Hals gehängt werden, um älteren Menschen eine flexible Nutzung zu ermöglichen.  Bei einem Sturz oder der Betätigung des SOS-Knopfes sendet das Gerät automatisch eine SMS mit der GPS-Position an hinterlegte Kontakte. Anschließend werden diese Kontakte in der festgelegten Reihenfolge angerufen. Dieses System ermöglicht es Senioren, sowohl zuhause als auch unterwegs schnell Hilfe zu kontaktieren.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-07-11";"";"Ja";"Akku";"Beweglich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen";"Kommunikationsmittel,Ortungssystem";"Stürzen,Sich verlaufen";"";"1197";"Nur Hardware";"Ja";"GSM/LTE";"";"aktiv"
"Gigaset smart SOS+Phone";"Gigaset Technologies GmbH";"Das seniorengerechte DECT-Telefon ist mehr als ein Telefon für Alleinlebende. Es bietet zusätzliche Sicherheit. Denn das smart SOS + Phone System löst bei allen Alarmsituationen (zum Beispiel Betätigung des Alarmknopfs) einen automatisierten Alarmruf über das DECT-Telefon aus. Dabei werden bis zu vier hinterlegte Telefonnummern benachrichtigt – zusätzlich zur Pushnachricht auf Ihrem Smartphone. Die hinterlegten Nummern werden jeweils bis zu vier Mal angerufen. Nimmt eine dieser Nummern das Gespräch an, schaltet das DECT-Telefon automatisch auf Freisprechen und Freihören um – so kann die alleinlebende Person mit Ihrem Familienangehörigen sprechen, auch wenn sie gerade nicht an das Telefon herankommt.";"101-300 €";"Nein";"";"Webshop";"2025-07-11";"";"Nein";"Netzbetrieb plus Batterie";"Verbaut/Montage erforderlich";"Ja";"Stürzen";"Nach Sturz um Hilfe rufen";"Kommunikationsmittel";"Stürzen";"";"1198";"Nur Hardware";"Nein";"Herstellergebunden";"";"aktiv"
"PICNIC";"Picnic GmbH";"Picnic ist ein Online-Supermarkt, der Einkäufe bequem per App organisiert und ohne Lieferkosten bis zur Haustür liefert. Ideal für ältere Menschen, die nicht mehr regelmäßig selbst einkaufen gehen möchten.";"Kostenlos";"Nein";"";"App-Stores";"2025-07-11";"";"Ja";"";"Beweglich";"Ja";"Flüssigkeitsmangel";"Getränkeversorgung ist schwierig";"Getränkeliefer-Apps";"Flüssigkeitsmangel";"";"1199";"Nur App";"Ja";"";"";"aktiv"
"Flink ";"Flink SE";"";"Kostenlos";"Nein";"";"App-Stores";"2025-07-11";"";"Ja";"";"Beweglich";"Ja";"Flüssigkeitsmangel";"Getränkeversorgung ist schwierig";"Getränkeliefer-Apps";"Flüssigkeitsmangel";"";"1200";"Nur App";"Ja";"";"";"aktiv"
"myTime.de";"Bünting E-Commerce GmbH & Co. KG";"Der myTime Online-Supermarkt bietet eine zuverlässige Getränkelieferung direkt bis vor Ihre Haustür – optimal für ältere Menschen, die körperliche Anstrengung oder Wege vermeiden möchten.";"Kostenlos";"Nein";"";"App-Stores";"2025-07-11";"";"Ja";"";"Beweglich";"Ja";"Flüssigkeitsmangel";"Getränkeversorgung ist schwierig";"Getränkeliefer-Apps";"Flüssigkeitsmangel";"";"1201";"Nur App";"Ja";"";"";"aktiv"
"Lumosity";"Lumos Labs, Inc.";"Das kognitive Trainingsprogramm von Lumosity ist eine unterhaltsame, interaktive Möglichkeit, das Gehirn zu trainieren und zu lernen, wie das Gehirn funktioniert. Das von über 100 Millionen Menschen weltweit genutzte Programm von Lumosity besteht aus Spielen, welche Gedächtnis, Schnelligkeit, Flexibilität und Problemlösung trainieren.";"Kostenlos";"Ja";"";"App-Stores";"2025-07-14";"";"Ja";"";"Beweglich";"";"Sich verlaufen,Einsamkeit";"Fehlende Beschäftigung,Lebt allein und hat wenig Kontakte";"Beschäftigungshilfe";"Sich verlaufen,Einsamkeit";"";"1202";"Software";"Ja";"";"";"aktiv"
"Elevate - Brain Training";"Elevate Labs";"Elevate ist eine Gehirntrainings-App zur Verbesserung der Konzentrationsfähigkeit, der Sprechfertigkeiten, der mentalen Verarbeitungsgeschwindigkeit, der mathematischen Fähigkeiten und weiterer Kompetenzen. Jeder Nutzer erhält sein individuelles personalisiertes Trainingsprogramm, das zur Maximierung der Ergebnisse kontinuierlich angepasst wird.";"Kostenlos";"Ja";"";"App-Stores";"2025-07-14";"";"Ja";"";"Beweglich";"";"Sich verlaufen,Einsamkeit";"Fehlende Beschäftigung,Lebt allein und hat wenig Kontakte";"Beschäftigungshilfe";"Sich verlaufen,Einsamkeit";"";"1203";"Nur App";"Ja";"";"";"aktiv"
"NeuroNation";"Synaptikon GmbH";"NeuroNation MED unterstützt Menschen mit kognitiven Beeinträchtigungen dabei, ihre Gehirnleistung zu verbessern. Die App ist kostenlos per Rezept erhältlich und vom Bundesinstitut für Arzneimittel und Medizinprodukte geprüft und zugelassen. Kognitive Beeinträchtigungen können Folge verschiedener Erkrankungen sein oder eigenständig auftreten.";"Kostenlos";"Ja";"";"App-Stores";"2025-07-14";"";"Ja";"";"Beweglich";"";"Sich verlaufen,Einsamkeit";"Fehlende Beschäftigung,Lebt allein und hat wenig Kontakte";"Beschäftigungshilfe";"Sich verlaufen,Einsamkeit";"";"1204";"Nur App";"Ja";"";"";"aktiv"
"emporiaTABLET";"emporia Telecom GmbH & Co. KG";"Dieses Tablet wurde speziell für Menschen im Alter 65+ designed und entwickelt. Das Tablet punktet mit klarer Menüstruktur, großen Bedienfeldern, übersichtlichem Display und  einem praktischer Standfuß, der vor allem beim Videotelefonieren wertvolle Dienste leistet und der gleichzeitig als Ladestation dient.";"101-300 €";"Nein";"";"Webshop";"2025-07-14";"";"Nein";"Akku";"Beweglich";"Ja";"Sich verlaufen,Einsamkeit";"Fehlende Beschäftigung,Fühlt sich einsam";"Kommunikationsmittel";"Sich verlaufen,Einsamkeit";"";"1205";"Hardware + Software";"Ja";"Bluetooth,WLAN,GSM/LTE";"";"aktiv"
"Konnekt Bildtelefon";"Konnekt Pty Ltd";"Das Konnekt Bildtelefon ist ein unglaublich einfach verwendbares Video-Kommunikationsgerät für allein lebenden Personen in Deutschland, Österreich und der Schweiz für Menschen mit Demenz, Arthritis oder Parkinson, Taubheit oder Hörverlust, Sehschwäche und in der Altenpflege.";"Auf Anfrage";"Ja";"";"Hersteller-Website";"2025-07-14";"";"Nein";"Akku";"Beweglich";"Ja";"Sich verlaufen,Einsamkeit";"Fehlende Beschäftigung,Fühlt sich einsam";"Kommunikationsmittel";"Sich verlaufen,Einsamkeit";"";"1206";"Hardware + Software";"Ja";"Bluetooth,WLAN,GSM/LTE";"";"aktiv"
"Lipa F50 Tablet";"Lipa ";"Das Lipa F50 Tablet ist speziell für Senioren entwickelt worden und besonders leicht zu bedienen. Es hat einen großen, gut lesbaren Bildschirm und extra große Symbole für eine einfache Nutzung. Dank der Notruftaste können im Notfall automatisch Kontakte angerufen werden – das sorgt für Sicherheit. Die mitgelieferte Dockingstation lädt das Tablet bequem auf und ermöglicht freihändiges Telefonieren. Mit Lautsprechern, Videoanrufen, Internet und Navigation bietet es viele praktische Funktionen für den Alltag. Ideal für alle, die in Kontakt bleiben und moderne Technik einfach nutzen möchten.";"101-300 €";"Nein";"";"Webshop";"2025-07-14";"";"Nein";"Akku";"Beweglich";"Ja";"Sich verlaufen,Einsamkeit";"Fehlende Beschäftigung,Fühlt sich einsam";"Kommunikationsmittel";"Sich verlaufen,Einsamkeit";"";"1207";"Hardware + Software";"Ja";"Bluetooth,WLAN,GSM/LTE";"";"aktiv"
"Nebenan.de ";"Good Hood GmbH";"Nebenan.de ist Deutschlands größtes Nachbarschafts-Netzwerk. Nach der Anmeldung können Sie andere registrierte Nachbarn sowie Gruppen und Aktivitäten in Ihrer Nähe sehen und sich mit Menschen aus ihrem Viertel zusammenschließen. Nebenan eine hilfreiche App, um Nachbarschaftshilfe wie Einkäufe für ältere Menschen zu organisieren oder direkt Hilfe suchen und anbieten. Für ein solidarisches Miteinander!";"Kostenlos";"Nein";"";"App-Stores";"2025-07-14";"";"Ja";"";"Beweglich";"Ja";"Sich verlaufen,Einsamkeit";"Fehlende Beschäftigung,Fühlt sich einsam,Lebt allein und hat wenig Kontakte";"Beschäftigungshilfe,Kommunikationsmittel";"Sich verlaufen,Einsamkeit";"";"1208";"Nur App";"Ja";"";"";"aktiv"
"Sensor Waschtischarmatur 3002S";"NEXTREND - GmbH";"Effizienter und hygienischer kann Händewaschen mit einer Sensor-Armatur nicht sein. Die nahezu berührungslose Bedienung verringert die Übertragung von Keimen und Bakterien. Durch die intelligente Technologie stoppt der Wasserfluss automatisch.   Bei frontaler Annäherung wird der Wasserstrahl kurzzeitig zum Händewaschen aktiviert. Der seitlich angebrachte Sensor bewirkt einen dauerhaften Wasserstrahl für maximal 60 sec. ";"101-300 €";"Nein";"";"Hersteller-Website";"2025-07-14";"";"Nein";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst das Wasser abzudrehen";"Automatischer Wasserhahn";"Vergesslichkeit";"";"1209";"Nur Hardware";"Nein";"";"";"aktiv"
"Schütte Vital Sensor-Waschtischarmatur";"Franz Joseph Schütte GmbH";"Die Infrarot-Sensortechnik ermöglicht einen berührungslosen Wasserfluss, der durch das Annähern der Hand aktiviert wird. Dies trägt zur hygienischen Nutzung der Armatur bei und reduziert die Verschmutzung durch manuelle Bedienung.  Nach einer Laufzeit von ca. 60 Sekunden erfolgt eine automatische Abschaltung des Wasserflusses, was zusätzliche Sicherheit bei unbeabsichtigter Dauerbenutzung bietet.";"101-300 €";"Nein";"";"Webshop";"2025-07-14";"";"Nein";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst das Wasser abzudrehen";"Automatischer Wasserhahn";"Vergesslichkeit";"";"1210";"Nur Hardware";"Nein";"";"";"aktiv"
"BROGRUND Mischbatterie mit Sensor";"IKEA";"Die BROGRUND-Mischbatterie ist ideal für alle, die es hygienisch und praktisch mögen – besonders ältere Menschen. Die Sensor-Technik startet das Wasser ganz automatisch. Nach 2 Sekunden schaltet sich das Wasser von selbst ab.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-07-14";"";"Nein";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst das Wasser abzudrehen";"Automatischer Wasserhahn";"Vergesslichkeit";"";"1211";"Nur Hardware";"Nein";"";"";"aktiv"
"Elektronische Waschtisch-Armatur XERIS E²-T";"SCHELL GmbH & Co. KG";"Die integrierte Infrarot‑ToF‑Sensor‑Technik aktiviert den Wasserfluss in dem Moment, in dem eine Hand oder ein Gegenstand den Sensorbereich betritt. Sobald dieser Bereich verlassen wird, stoppt der Wasserstrahl automatisch. Diese berührungslose Funktion minimiert Kontakt mit der Armatur, was die Hygiene verbessert und die Reinigung erleichtert. Über die SCHELL App oder ein Management-System lässt sich die Sensorreichweite, Wasserlaufzeit, Nachlauf‑ und Spülintervalle individuell anpassen. So kann das Gerät leicht an die Bedürfnisse älterer Menschen oder Menschen mit Behinderung angepasst werden";"301-500 €";"Nein";"";"Webshop";"2025-07-14";"SCHELL App";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Vergesslichkeit";"Vergisst das Wasser abzudrehen";"Automatischer Wasserhahn";"Vergesslichkeit";"";"1212";"Nur Hardware";"Nein";"Bluetooth";"";"aktiv"
"Homematic IP Smart Home Wassersensor";"Homematic IP  ";"Wassermelder für zuverlässige Alarmierung per Sirene und Push-Benachrichtigung in der Smartphone-App bei Feuchtigkeit und Wasser";"1-50 €";"Nein";"";"Webshop";"2025-07-14";"Homematic IP App";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Vergesslichkeit";"Vergisst das Wasser abzudrehen";"Wassersensor";"Vergesslichkeit";"";"1213";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"LUPUS Wassermelder V2";"LUPUS-Electronics GmbH";"Der LUPUS – Wassermelder V2 alarmiert Sie zuverlässig bei Wasserschäden oder Überschwemmungen. Hierzu wird der Wassermelder einfach auf den Boden gelegt (z. B. in Nähe der Waschmaschine). Alternativ kann man einen externen Sensor per Kabel anstecken und so anbringen, dass nur dieser Bodenkontakt hat.";"51-100 €";"";"";"Webshop";"2025-07-14";"";"Nein";"Batterien";"Beweglich";"Ja";"Vergesslichkeit";"Vergisst das Wasser abzudrehen";"Wassersensor";"Vergesslichkeit";"";"1214";"Nur Hardware";"Nein";"";"";"aktiv"
"X4-LIFE Wassermelder ";"X4-LIFE ";"Kräftiger Alarm ertönt wenn der Sensor mit Wasser in Berührung kommt. deal zur Benutzung im Keller, im Heizraum oder in der Waschküche.";"1-50 €";"Nein";"";"Webshop";"2025-07-14";"";"Nein";"Batterien";"Beweglich";"Ja";"Vergesslichkeit";"Vergisst das Wasser abzudrehen";"Wassersensor";"Vergesslichkeit";"";"1215";"Nur Hardware";"Nein";"";"";"aktiv"
"Day Connect";"Relish";"Day Connect™ von Relish ist eine digitale Tagesuhr mit großem Display, die Datum, Uhrzeit und Wochentag klar anzeigt – ideal zur täglichen Orientierung. In Kombination mit dem Day Hub™ erinnert das System zuverlässig an wichtige Termine und Routinen wie Arztbesuche oder Medikamenteneinnahme. Die Erinnerungen werden visuell und akustisch dargestellt und helfen besonders Menschen mit Gedächtnisproblemen, den Alltag selbstständiger zu meistern.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-07-14";"Relish Day Hub";"Nein";"Netzbetrieb plus Batterie";"Beweglich";"Nein";"Vergesslichkeit";"Vergißt (Blutdruck-) Medikamente,Vergisst Termine / neue Informationen";"Medikamenten-Management,Kalender- und Erinnerungs-App";"Vergesslichkeit";"";"1216";"Hardware + Software";"Ja";"WLAN";"";"aktiv"
"Meine Erinnerung";"KMJ Apps";"Die App „Erinnerung – Mein persönlicher Assistent“ ist ein einfach zu bedienendes Tool zur Erstellung und Verwaltung von persönlichen Erinnerungen auf Android-Geräten. Nutzer können einmalige oder wiederkehrende Benachrichtigungen mit individueller Nachricht, Datum und Uhrzeit einrichten. Die App unterstützt Alarmtöne und Vibrationen, funktioniert offline und erfordert keine Registrierung. Durch ihre klare Oberfläche eignet sie sich für den privaten wie beruflichen Alltag. Sie legt besonderen Wert auf Datenschutz und kommt ohne überflüssige Berechtigungen aus.";"Kostenlos";"Nein";"";"App-Stores";"2025-07-14";"";"Ja";"";"Beweglich";"Ja";"Vergesslichkeit";"Vergisst Termine / neue Informationen";"Kalender- und Erinnerungs-App";"Vergesslichkeit";"";"1217";"Nur App";"Ja";"";"";"aktiv"
"Aufgabenliste mit Erinnerung";"tact";"Die App „To Do List with Reminder“ ist ein vielseitiger Aufgabenplaner für Android, mit dem Nutzer ihre Termine, Routinen und täglichen Aufgaben effizient verwalten können. Erinnerungen lassen sich individuell einstellen, inklusive Alarm, Schlummerfunktion und optionaler Vollbild-Benachrichtigung. Aufgaben werden nach Dringlichkeit farblich sortiert und können in übersichtlichen, farblich codierten Listen organisiert werden. Zusätzlich ist eine Synchronisation mit Google Tasks möglich. Die App legt Wert auf einfache Bedienung und einen datensparsamen Betrieb ohne Erfassung persönlicher Informationen";"Kostenlos";"Nein";"";"App-Stores";"2025-07-14";"";"Ja";"";"Beweglich";"Ja";"Vergesslichkeit";"Vergisst Termine / neue Informationen";"Kalender- und Erinnerungs-App";"Vergesslichkeit";"";"1218";"Nur App";"Ja";"";"";"aktiv"
"Intelligente Matratzenauflage";"Pflege durch Angehörige GmbH";"Die Matratzenauflage erkennt nicht nur Problemsituationen, sondern reagiert auch gezielt darauf. Über eine Smartphone-App informiert das integrierte Pflege-Cockpit Pflegekräfte und Angehörige per Push-Nachricht. Alle Veränderungen werden automatisch in einem Protokoll erfasst und durch einfache Diagramme dargestellt, sodass Trends schnell erkennbar sind. Das sorgt für mehr Sicherheit bei Angehörigen und erleichtert dem Hausarzt die Therapieplanung. Zudem lässt sich die App flexibel an individuelle Bedürfnisse anpassen.";"Auf Anfrage";"Nein";"";"Hersteller-Website";"2025-07-15";"";"Ja";"Netzbetrieb";"Beweglich";"Nein";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1219";"Hardware + Software";"Ja";"WLAN";"";"aktiv"
"SECAIR WLAN Rauchmelder";"Secair safety technology CO";"Der smarte Rauchmelder von SECAIR kombiniert moderne Sicherheitstechnik mit intelligenter Vernetzung. Dank integriertem fotoelektrischem Sensor bietet das Gerät bis zu 10 Jahre zuverlässigen Brandschutz – speziell bei langsam schwelenden Bränden. Über eine 2,4-GHz-WLAN-Verbindung lässt sich der Melder direkt mit der Tuya-App verbinden – ganz ohne zusätzliche Basisstation.  Dank der praktischen Gerätefreigabe können Sie den Rauchmelder mit über 10 Nutzerkonten teilen. So erhalten alle verbundenen Personen Push-Benachrichtigungen in Echtzeit bei Alarmen, Störungen oder niedrigem Batteriestand.";"1-50 €";"Nein";"";"Webshop";"2025-07-15";"Tuya-App";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1220";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"Putogesafe Rauch-CO Melder";"Putogesafe";"Dieser Melder vereint zwei lebensrettende Funktionen in einem Gerät: Ein fotoelektrischer Sensor erkennt frühzeitig Rauch, während ein elektrochemischer Sensor zuverlässig gefährliche Kohlenmonoxid-Konzentrationen misst. So sind Sie optimal vor Brand- und CO-Gefahren geschützt.  Das integrierte, gut ablesbare LCD-Display zeigt den aktuellen CO-Gehalt in der Umgebung sowie den Gerätestatus und Batteriestand in Echtzeit an. So behalten Sie jederzeit die volle Kontrolle über die Luftqualität in Ihrem Zuhause.";"1-50 €";"Nein";"";"Webshop";"2025-07-15";"";"Nein";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1221";"Nur Hardware";"Nein";"";"";"aktiv"
"Smart-Home-Hitzemelder ELRO Connects";"ELRO Connects";"Der funkvernetzbare Smart-Home-Hitzemelder FH3801R reagiert bei Temperaturen ab 57 °C. Überall dort, wo bei Verwendung von gewöhnlichen Rauchwarnmelder mit Täuschungsalarmen zu rechnen ist, z.B. in Küchen oder Badezimmern. Der Smart-Home-Hitzemelder FH3801 kann mit weiteren Warnmeldern der ELRO-Connects-Serie verbunden werden. Zudem kann der Funk Smart-Home-Hitzemelder, wie auch alle anderen Funkwarnmelder aus der ELRO-Serie in das Smart-Home System eingebunden werden. ";"1-50 €";"Nein";"";"Webshop";"2025-07-15";"ELRO Connects K2 Smart Home Connector / Connects App 2.0";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Vergesslichkeit";"Vergisst den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1222";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"XS01-M Vernetzter intelligenter Rauchmelder";"X-Sense Europe B.V.";"Erhalten Sie sofortige Rauchwarnungen auf Ihrem Handy und durch laute Signaltöne. Die Basisstation unterstützt bis zu 50 Geräte und deckt 500 Meter ab. Über die X-Sense App können Sie Alarme und Störungen überwachen.";"101-300 €";"Nein";"";"Hersteller-Website";"2025-07-15";"X-Sense Home Security-App.";"Ja";"Netzbetrieb plus Batterie";"Verbaut/Montage erforderlich";"Nein";"Vergesslichkeit";"Vergisst den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1223";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
